"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ST8SIA42",7.6103310261196e-67,0.497591259224325,0.776,0.577,1.25433475972503e-62,"7","ST8SIA4"
"WWOX2",1.3222558242927e-66,0.610850373436689,0.867,0.72,2.17934204959922e-62,"7","WWOX"
"FYCO1",7.25476950706806e-66,0.317885427208372,0.344,0.164,1.19573111015496e-61,"7","FYCO1"
"CSGALNACT11",8.76216543512489e-66,0.453954107513865,0.667,0.436,1.44418010701728e-61,"7","CSGALNACT1"
"CD164",1.34305453749187e-65,0.389966424162405,0.4,0.21,2.21362248869409e-61,"7","CD164"
"PPP1R16B",1.74275349208505e-65,0.3861306141143,0.35,0.172,2.87240630565457e-61,"7","PPP1R16B"
"ZBTB381",3.83823641795823e-65,0.399689100213042,0.676,0.44,6.32618126407876e-61,"7","ZBTB38"
"ADA",6.33384025474454e-65,0.302477604793031,0.284,0.125,1.04394355078699e-60,"7","ADA"
"GLIPR11",8.7644558362529e-64,0.411715693621346,0.637,0.414,1.4445576109312e-59,"7","GLIPR1"
"ARHGEF32",1.35491396121825e-63,0.481016546870629,0.541,0.325,2.23316919087992e-59,"7","ARHGEF3"
"MINDY3",1.70337603990598e-63,0.351018619784055,0.288,0.13,2.80750438897304e-59,"7","MINDY3"
"S100A21",2.25327558446907e-63,0.311517596751247,0.325,0.153,3.71384881832193e-59,"7","S100A2"
"KDM4C",2.61085584433926e-63,0.520033011225855,0.768,0.588,4.30321260263998e-59,"7","KDM4C"
"NRIP1",4.08718520437465e-63,0.361802378741165,0.25,0.106,6.73649865385029e-59,"7","NRIP1"
"FAS1",5.98788818698008e-63,0.33091062178805,0.461,0.249,9.86923730978057e-59,"7","FAS"
"ARHGAP421",1.60073947211051e-62,0.511306764386665,0.648,0.44,2.63833879793254e-58,"7","ARHGAP42"
"ITPR22",4.01513966669852e-62,0.423713139141346,0.941,0.849,6.61775319865251e-58,"7","ITPR2"
"IQGAP21",1.32801146526638e-61,0.419516404119242,0.921,0.784,2.18882849705204e-57,"7","IQGAP2"
"ARHGAP261",1.52165112935527e-61,0.419892010977718,0.542,0.324,2.50798539140336e-57,"7","ARHGAP26"
"PPEF11",1.59702138830565e-61,0.413955106846955,0.345,0.173,2.63221065220537e-57,"7","PPEF1"
"TTC7A1",1.97209560905366e-61,0.395903205291992,0.543,0.33,3.25040798284224e-57,"7","TTC7A"
"CTC1",1.14159897528498e-59,0.277441883612234,0.265,0.118,1.88158343106471e-55,"7","CTC1"
"RALGAPA2",7.35203425964662e-59,0.469903091379215,0.723,0.53,1.21176228667496e-54,"7","RALGAPA2"
"ADAM17",1.08952460828444e-58,0.356292812034259,0.383,0.2,1.79575445937441e-54,"7","ADAM17"
"IKZF11",1.23677943996718e-58,0.316382334922226,0.986,0.949,2.03845987295391e-54,"7","IKZF1"
"NIPAL2",7.2109008455941e-58,0.378942170283295,0.333,0.167,1.18850067737082e-53,"7","NIPAL2"
"SIK32",1.11816729159259e-57,0.453960041527734,0.765,0.574,1.84296333000291e-53,"7","SIK3"
"LCP22",3.37752248993745e-56,0.36900746658152,0.747,0.531,5.5668325679149e-52,"7","LCP2"
"ZNF292",4.24691153849294e-56,0.433155720970507,0.838,0.683,6.99975959774406e-52,"7","ZNF292"
"ATAD21",4.67083768879395e-56,0.393149650446259,0.501,0.3,7.69847467867018e-52,"7","ATAD2"
"RABGAP1L1",5.25171366513448e-56,0.393495012770753,0.973,0.908,8.65587446287464e-52,"7","RABGAP1L"
"NCOA2",1.18285000511539e-54,0.418386659094749,0.861,0.717,1.94957337843119e-50,"7","NCOA2"
"S100A111",2.73233427966226e-54,0.316874517319853,0.976,0.925,4.50343335973933e-50,"7","S100A11"
"LTA4H",6.0915974355176e-54,0.367881464798309,0.48,0.283,1.00401708932201e-49,"7","LTA4H"
"SYNE31",1.55475991015825e-53,0.340500188799841,0.425,0.239,2.56255528392283e-49,"7","SYNE3"
