"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LEF1",0,2.38513174862158,0.989,0.358,0,"CD4+ Naive","LEF1"
"CSTA",0,1.80229016164293,0.825,0.15,0,"CD4+ Naive","CSTA"
"ATP10A",0,1.68721094248173,0.76,0.205,0,"CD4+ Naive","ATP10A"
"RGS10",0,1.63142385180835,0.894,0.259,0,"CD4+ Naive","RGS10"
"ITGA1",0,1.59285423985721,0.844,0.237,0,"CD4+ Naive","ITGA1"
"SATB1",0,1.53779779355082,0.983,0.534,0,"CD4+ Naive","SATB1"
"CTPS1",0,1.51916892305048,0.741,0.152,0,"CD4+ Naive","CTPS1"
"ZNF536",0,1.48427361686603,0.469,0.018,0,"CD4+ Naive","ZNF536"
"CAMK4",0,1.44424568999234,0.965,0.435,0,"CD4+ Naive","CAMK4"
"FAM241A",0,1.43377631345938,0.777,0.269,0,"CD4+ Naive","FAM241A"
"CCR7",0,1.41985675246748,0.798,0.193,0,"CD4+ Naive","CCR7"
"SCML4",0,1.40349087001151,0.954,0.468,0,"CD4+ Naive","SCML4"
"MLLT3",0,1.31916542718656,0.885,0.385,0,"CD4+ Naive","MLLT3"
"CD52",0,1.30041907053786,0.67,0.154,0,"CD4+ Naive","CD52"
"PRKCQ",0,1.29526260472609,0.897,0.404,0,"CD4+ Naive","PRKCQ"
"RCAN3",0,1.24179617347332,0.807,0.326,0,"CD4+ Naive","RCAN3"
"CARMIL1",0,1.21788046914667,0.538,0.12,0,"CD4+ Naive","CARMIL1"
"BCL2",0,1.21411280443075,0.944,0.557,0,"CD4+ Naive","BCL2"
"TRIM22",0,1.20613118473782,0.869,0.444,0,"CD4+ Naive","TRIM22"
"COL6A5",0,1.18523852640195,0.306,0.015,0,"CD4+ Naive","COL6A5"
"PLAC8",0,1.1746181418824,0.978,0.559,0,"CD4+ Naive","PLAC8"
"LTB",0,1.14595421015225,0.993,0.612,0,"CD4+ Naive","LTB"
"TNFSF8",0,1.13358312312315,0.668,0.263,0,"CD4+ Naive","TNFSF8"
"RALGPS2",0,1.13134684542976,0.833,0.321,0,"CD4+ Naive","RALGPS2"
"INPP4B",0,1.12995400163547,0.978,0.459,0,"CD4+ Naive","INPP4B"
"IL7R",0,1.11530190277998,0.966,0.366,0,"CD4+ Naive","IL7R"
"GALNT17",0,1.10939366651525,0.697,0.24,0,"CD4+ Naive","GALNT17"
"TBC1D5",0,1.08766611095153,0.993,0.823,0,"CD4+ Naive","TBC1D5"
"THEMIS",0,1.08599560882615,0.789,0.322,0,"CD4+ Naive","THEMIS"
"RASGRP1",0,1.07304253745081,0.765,0.327,0,"CD4+ Naive","RASGRP1"
"TGFBR2",0,1.05146666848108,0.844,0.515,0,"CD4+ Naive","TGFBR2"
"BCL11B",0,1.03472591608552,0.831,0.365,0,"CD4+ Naive","BCL11B"
"IGF1R",0,1.02570951644545,0.539,0.196,0,"CD4+ Naive","IGF1R"
"SLCO3A1",0,1.01672799806029,0.593,0.183,0,"CD4+ Naive","SLCO3A1"
"TSPAN5",0,0.977614039798788,0.621,0.211,0,"CD4+ Naive","TSPAN5"
"TLE4",0,0.957735573647091,0.758,0.398,0,"CD4+ Naive","TLE4"
"TCF7",0,0.93349208238514,0.678,0.247,0,"CD4+ Naive","TCF7"
"BBX",0,0.931461810406594,0.941,0.725,0,"CD4+ Naive","BBX"
"DOCK3",0,0.923462306655904,0.887,0.405,0,"CD4+ Naive","DOCK3"
"TRAT1",0,0.916426495092805,0.682,0.26,0,"CD4+ Naive","TRAT1"
"PITPNC1",0,0.878852169633374,0.906,0.592,0,"CD4+ Naive","PITPNC1"
"JAZF1",0,0.877256642428444,0.849,0.449,0,"CD4+ Naive","JAZF1"
"TAB2",0,0.868721151632899,0.793,0.507,0,"CD4+ Naive","TAB2"
"CLEC2D",0,0.868225462425763,0.924,0.567,0,"CD4+ Naive","CLEC2D"
"NCALD",0,0.862273929500735,0.497,0.167,0,"CD4+ Naive","NCALD"
"ANKH",0,0.857257819188049,0.669,0.329,0,"CD4+ Naive","ANKH"
"ITK",0,0.848708459412865,0.854,0.424,0,"CD4+ Naive","ITK"
"ABLIM1",0,0.844164275437969,0.74,0.343,0,"CD4+ Naive","ABLIM1"
"PDE4B",0,0.831057211964937,0.839,0.576,0,"CD4+ Naive","PDE4B"
"PDE3B",0,0.828165508871165,0.938,0.647,0,"CD4+ Naive","PDE3B"
"TXK",0,0.824971090590536,0.766,0.288,0,"CD4+ Naive","TXK"
"PDSS1",0,0.824219856262365,0.41,0.111,0,"CD4+ Naive","PDSS1"
"FOXP1",0,0.807679184459596,0.934,0.7,0,"CD4+ Naive","FOXP1"
"NR3C2",0,0.803488922475781,0.681,0.325,0,"CD4+ Naive","NR3C2"
"TOX",0,0.796926217139385,0.777,0.347,0,"CD4+ Naive","TOX"
"MACF1",0,0.787884306568551,0.984,0.795,0,"CD4+ Naive","MACF1"
"SPTBN1",0,0.76475377808458,0.819,0.471,0,"CD4+ Naive","SPTBN1"
"KANK1",0,0.761359029056264,0.303,0.039,0,"CD4+ Naive","KANK1"
"CD3E",0,0.742932624231806,0.981,0.521,0,"CD4+ Naive","CD3E"
"YEATS2",0,0.739430241135232,0.718,0.411,0,"CD4+ Naive","YEATS2"
"BACH2",0,0.735376198091996,0.976,0.462,0,"CD4+ Naive","BACH2"
"STMN1",0,0.731955332024364,0.823,0.448,0,"CD4+ Naive","STMN1"
"TLE1",0,0.729056288345173,0.363,0.081,0,"CD4+ Naive","TLE1"
"DGKA",0,0.725694854186227,0.641,0.319,0,"CD4+ Naive","DGKA"
"DPP4",0,0.714300921271203,0.291,0.05,0,"CD4+ Naive","DPP4"
"DOCK10",0,0.707321487778619,0.96,0.746,0,"CD4+ Naive","DOCK10"
"CD84",0,0.692866059137575,0.57,0.242,0,"CD4+ Naive","CD84"
"COQ10B",0,0.688202638610707,0.959,0.767,0,"CD4+ Naive","COQ10B"
"CD79A",0,0.670364400690267,1,0.89,0,"CD4+ Naive","CD79A"
"HADH",0,0.66681353432026,0.41,0.127,0,"CD4+ Naive","HADH"
"EPB41",0,0.647264689667966,0.963,0.783,0,"CD4+ Naive","EPB41"
"CCND2",0,0.646061229156444,0.533,0.226,0,"CD4+ Naive","CCND2"
"CCDC57",0,0.63013944993727,0.404,0.132,0,"CD4+ Naive","CCDC57"
"MYO7A",0,0.624541549035804,0.998,0.929,0,"CD4+ Naive","MYO7A"
"PSEN2",0,0.602020144823766,0.323,0.065,0,"CD4+ Naive","PSEN2"
"DYRK1B",0,0.600333027945675,0.999,0.942,0,"CD4+ Naive","DYRK1B"
"IL21R",0,0.598168036575837,0.35,0.091,0,"CD4+ Naive","IL21R"
"JAK1",0,0.582725173944515,0.991,0.893,0,"CD4+ Naive","JAK1"
