"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TIMP1",0,4.23017016763942,0.955,0.368,0
"ENSCAFG00000045333",0,-1.59228618674906,0.605,0.931,0
"SLC25A6",0,-2.41820046193257,0.185,0.898,0
"NAA10",0,3.9777261258274,0.91,0.291,0
"ENSCAFG00000037735",0,2.11752860425646,0.973,0.984,0
"GP6",0,4.35698347471612,0.855,0.025,0
"TFPT",0,-1.94188698428024,0.513,0.966,0
"RPS5",0,-1.14789058679159,0.691,0.922,0
"ENSCAFG00000042176",0,-2.00190479801823,0.086,0.787,0
"NOP53",0,-1.927880250951,0.085,0.781,0
"DYRK1B",0,-1.78319124261286,0.501,0.939,0
"SEC11C",0,4.05474120207822,0.99,0.659,0
"EZR",0,-2.7677211447462,0.073,0.884,0
"RPL13A",0,-1.59110769803581,0.748,0.955,0
"RPL28",0,-1.62402682360768,0.641,0.934,0
"FTL",0,1.60470897283866,0.992,0.956,0
"RPL18",0,1.67933726259391,0.998,0.933,0
"EMP3",0,-2.71387685912476,0.05,0.82,0
"RPS23",0,-1.1168710150533,0.858,0.935,0
"SRP19",0,-1.87073679190735,0.039,0.665,0
"RPL9",0,-1.95687050711385,0.586,0.93,0
"BCL2A1",0,-2.45633941932962,0.039,0.599,0
"IQGAP1",0,-2.13980855368205,0.06,0.704,0
"ESAM",0,4.03638122964957,0.672,0.026,0
"NRGN",0,3.38848829096933,0.578,0.018,0
"HSPA8",0,-1.8754913282299,0.118,0.824,0
"RPL13",0,-1.47616776426748,0.775,0.92,0
"RPL22",0,-1.41926224332907,0.518,0.908,0
"ACOT7",0,3.9083700983777,0.747,0.052,0
"APRT",0,-1.70407003258774,0.025,0.596,0
"JAK1",0,-1.18638557853081,0.196,0.814,0
"ETS1",0,-2.15241678527169,0.037,0.581,0
"ENSCAFG00000014120",0,3.30300324125596,0.555,0.032,0
"EIF4A1",0,-1.48430917122886,0.15,0.759,0
"SERBP1",0,-1.88873050014026,0.066,0.754,0
"SF3B3",0,3.01916059930711,0.581,0.158,0
"RPS14",0,-1.20794701762056,0.903,0.96,0
"NPM1",0,-2.3741268451925,0.041,0.762,0
"VCL",0,4.12263462487539,0.786,0.088,0
"ENSCAFG00000048619",0,-1.46183063947792,0.634,0.939,0
"DDX50",0,2.88336081998875,0.621,0.258,0
"KLF6",0,-2.29460462708873,0.07,0.751,0
"RPL11",0,-1.52304164528498,0.768,0.957,0
"ATP5IF1",0,-1.55879523133767,0.066,0.677,0
"ENSCAFG00000028613",0,-2.12056277736125,0.057,0.78,0
"BTF3",0,-1.32951222239219,0.298,0.89,0
"ENSCAFG00000008311",0,-1.98769996404727,0.037,0.682,0
"DHDDS",0,-2.17913609526722,0.04,0.721,0
"VIM",0,-3.70493664507259,0.237,0.919,0
"ENSCAFG00000009113",0,-3.01307085353656,0.056,0.638,0
"RSU1",0,3.4513837297249,0.72,0.166,0
"CELF2",0,-1.59782199209046,0.057,0.626,0
"KIF2A",0,2.97130075418047,0.649,0.307,0
"ITGB1",0,2.62905490049155,0.775,0.411,0
"S100A8",0,-3.77092724804391,0.145,0.754,0
"H3-3A",0,1.73399869493161,0.838,0.883,0
"RABGAP1L",0,3.5932945130531,0.868,0.293,0
"ENSCAFG00000019044",0,-1.11905213962181,0.854,0.945,0
"PRRC2C",0,-1.8906966143055,0.061,0.735,0
"SNRPD1",0,-1.46974367397847,0.025,0.555,0
"SELL",0,-2.71532231712592,0.063,0.716,0
"SELP",0,3.97271248605718,0.754,0.036,0
"SMCHD1",0,-1.83723879593367,0.032,0.618,0
"RCSD1",0,-1.80235368840175,0.018,0.578,0
"PTPRC",0,-2.94564425959095,0.056,0.898,0
"KRTCAP2",0,-1.76359347725512,0.094,0.784,0
"RPS27",0,-1.22522983575806,0.827,0.96,0
"ATP5PB",0,-1.42462504890448,0.039,0.587,0
"RPL5",0,-2.61569606655395,0.258,0.912,0
"ENSCAFG00000039767",0,-1.72801319660728,0.035,0.616,0
"SH3GLB1",0,3.01394236215892,0.698,0.345,0
"ACTB",0,1.73918126714287,0.989,0.98,0
"GDE1",0,3.22571564978357,0.605,0.133,0
"RPS15A",0,-2.34626455524316,0.547,0.938,0
"SRRM2",0,-2.39030391813564,0.056,0.845,0
"ENSCAFG00000008221",0,2.56195190028566,0.848,0.44,0
"CORO1A",0,-2.38387217295247,0.073,0.834,0
"RPS6",0,-1.534647464482,0.714,0.937,0
"RACK1",0,-1.44469364064938,0.242,0.843,0
"ENSCAFG00000046564",0,-2.46333284661707,0.062,0.844,0
"TLN1",0,3.20710827851465,0.956,0.771,0
"GSN",0,3.30131367863318,0.724,0.175,0
"HSP90AA1",0,-1.61808487260278,0.057,0.664,0
"ENSCAFG00000013905",0,-1.71707826747461,0.395,0.904,0
"CRIP1",0,-2.77726439377774,0.259,0.899,0
"RPL36AL",0,-2.36891668963435,0.142,0.924,0
"PSME1",0,-1.4711641281481,0.049,0.604,0
"PNISR",0,-1.84596577874239,0.03,0.632,0
"SDHAF4",0,2.89882216677204,0.525,0.125,0
"DLA-DRA",0,-3.30810870577162,0.065,0.838,0
"HLA-DQB2",0,-2.69618094310568,0.068,0.803,0
"TAP1",0,-1.72509257391311,0.121,0.815,0
"PSMB9",0,-2.2190121351239,0.064,0.802,0
"AMD1",0,3.50723630590054,0.709,0.155,0
"RPS18",0,-2.18866819154582,0.434,0.915,0
"HSP90AB1",0,-2.53433574839277,0.065,0.809,0
"LTB",0,-2.82825205436948,0.051,0.593,0
"TREM2",0,4.66477059895946,0.906,0.045,0
"EEF1A1",0,-2.44623883951848,0.275,0.908,0
"RPL10A",0,-2.42580604632808,0.382,0.918,0
"SH3BGRL2",0,3.78368249843067,0.715,0.029,0
"MYH9",0,2.23211618646327,0.888,0.844,0
"COX5B",0,-1.23702892411453,0.105,0.693,0
"PLEK",0,4.01579761147262,0.888,0.225,0
"RPS26",0,-1.80458958308706,0.684,0.953,0
"SNRPG",0,-2.70563436707731,0.047,0.819,0
"ENSCAFG00000042554",0,3.02344199389282,0.955,0.938,0
"RPS27A",0,-1.77813965606202,0.547,0.923,0
"RAP1B",0,3.29146118594456,0.73,0.328,0
"RPL3",0,-1.85324585802063,0.338,0.883,0
"NACA",0,-2.44834180392686,0.29,0.918,0
"ENSCAFG00000044682",0,-2.39334852412659,0.194,0.865,0
"ENSCAFG00000023111",0,-2.74897223121469,0.061,0.72,0
"S100A11",0,-1.90756242302309,0.152,0.835,0
"TMSB10",0,-1.553411545398,0.639,0.904,0
"MACF1",0,-1.66268441152593,0.096,0.697,0
"ENSCAFG00000004260",0,2.40738811024185,0.846,0.711,0
"PRDX1",0,-1.559336623628,0.038,0.573,0
"ENSCAFG00000006545",0,-1.56428176069917,0.039,0.594,0
"RPS8",0,-0.94261038461191,0.806,0.966,0
"NAP1L1",0,2.27637457534173,0.82,0.654,0
"HSP90B1",0,-1.97530688617532,0.062,0.693,0
"RPS3A",0,-2.47291966496159,0.463,0.947,0
"RPL8",0,-1.30604512459326,0.804,0.943,0
"DCSTAMP",0,3.31578728792898,0.549,0.034,0
"EEF1D",0,-1.91139259936982,0.141,0.846,0
"UTP3",0,-1.70672210496574,0.028,0.585,0
"PPBP",0,4.53320365485502,0.975,0.116,0
"ENSCAFG00000031952",0,-1.1557537688313,0.731,0.923,0
"RASA3",0,2.61158736301674,0.774,0.539,0
"LCP1",0,-3.06108029685653,0.059,0.893,0
