"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KMT2E",2.20773634560153e-291,-1.82371246946788,0.056,0.741,3.17207558136027e-287
"MYCBP2",3.88785469681116e-291,-2.14047552983938,0.043,0.719,5.58606962837828e-287
"ENSCAFG00000004260",1.22189232222524e-289,2.39743398964079,0.828,0.713,1.75561488857323e-285
"PRRC2C",1.83054982401421e-288,-1.84245723899317,0.049,0.73,2.63013398714362e-284
"KLF6",5.71473021567204e-286,-2.28552951603244,0.07,0.746,8.21092437387759e-282
"RPL14",9.29709581911793e-286,-1.64292443092975,0.446,0.917,1.33580672729086e-281
"ENSCAFG00000045333",2.42488598646583e-283,-1.4405518749596,0.59,0.929,3.48407618535411e-279
"ENSCAFG00000013905",1.338579887251e-282,-1.63337784233579,0.382,0.9,1.92327158200224e-278
"EEF1D",3.09445720454242e-280,-1.72827156214065,0.137,0.84,4.44611611148655e-276
"SERBP1",6.96536266540175e-279,-1.63201644186948,0.072,0.749,1.00078330776492e-274
"RPL11",3.34483304175001e-278,-1.21744100982191,0.766,0.956,4.80585611438641e-274
"MT-CO2",4.21374012285314e-278,-1.50370324817692,0.816,0.933,6.05430180851539e-274
"KRTCAP2",4.58430245681606e-278,-1.63538174030612,0.085,0.779,6.58672576995332e-274
"EEF1B2",2.13799028172209e-277,-1.65468845828154,0.249,0.881,3.07186443677831e-273
"RPL28",1.12012181206114e-276,-1.41291244474373,0.642,0.931,1.60939101956945e-272
"RPL3",3.79664885536018e-276,-1.63181873206574,0.327,0.879,5.4550250753815e-272
"EIF3G",1.0863587627941e-274,-1.75757116304179,0.06,0.726,1.56088027038256e-270
"DHDDS",2.46456075282259e-274,-1.76074914213076,0.051,0.716,3.5410808896555e-270
"PSMA7",4.50565600434151e-273,-1.66406150044124,0.073,0.75,6.47372654703788e-269
"RPS28",3.75768342655972e-272,-1.23183110717813,0.789,0.963,5.399039547281e-268
"ENSCAFG00000047673",2.28333123935309e-265,-1.60693601557339,0.079,0.748,3.28069032470252e-261
"ENSCAFG00000023111",1.0244392678605e-262,-2.4565676279326,0.079,0.715,1.47191434006196e-258
"MT-ND3",5.75754586775303e-261,-1.85042160056554,0.131,0.798,8.27244190278756e-257
"MNDA",1.1047248597065e-260,-1.67586007819321,0.05,0.696,1.5872686784263e-256
"ENSCAFG00000043193",2.59080208996101e-260,-1.77640068860127,0.095,0.76,3.72246444285598e-256
"SELL",2.39582235712529e-259,-2.52334364981149,0.074,0.711,3.44231756271761e-255
"MT-ND4",6.40495136177107e-259,-1.56391940850316,0.545,0.906,9.20263411659267e-255
"MYH9",8.76288476819559e-259,2.2236583486519,0.847,0.845,1.25905128349434e-254
"SRP19",1.70620649633774e-257,-1.76205349834954,0.034,0.66,2.45147749393806e-253
"ENSCAFG00000025115",2.4818817720962e-255,-1.97520379547385,0.034,0.658,3.56596773014782e-251
"RPL7",5.19800202607559e-254,-1.35368873782846,0.473,0.914,7.46848931106541e-250
"RPL19",5.34358727224248e-252,-1.21303058143728,0.847,0.957,7.67766619275799e-248
