"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LYZ",0,4.87789364649052,0.985,0.359,0,"Monocyte","LYZ"
"ARHGAP45",0,3.82469394050779,0.992,0.412,0,"Monocyte","ARHGAP45"
"LRMDA",0,3.36977397515749,0.96,0.112,0,"Monocyte","LRMDA"
"BPI",0,3.30455565185272,0.943,0.021,0,"Monocyte","BPI"
"MAFB",0,3.27548254474592,0.938,0.019,0,"Monocyte","MAFB"
"PLBD1",0,3.11495982630476,0.977,0.171,0,"Monocyte","PLBD1"
"CTSS",0,3.09614674173353,0.96,0.268,0,"Monocyte","CTSS"
"FN1",0,2.71727786374959,0.701,0.04,0,"Monocyte","FN1"
"VCAN",0,2.69791183786482,0.959,0.094,0,"Monocyte","VCAN"
"ZEB2",0,2.66632125521743,0.976,0.363,0,"Monocyte","ZEB2"
"F13A1",0,2.64913528853266,0.835,0.016,0,"Monocyte","F13A1"
"S100P",0,2.54220873049003,0.967,0.11,0,"Monocyte","S100P"
"MT2A",0,2.48568504649264,0.587,0.06,0,"Monocyte","MT2A"
"TCF7L2",0,2.4144065510589,0.893,0.028,0,"Monocyte","TCF7L2"
"NRG1",0,2.39363574586433,0.747,0.018,0,"Monocyte","NRG1"
"CD83",0,2.34236535284813,0.523,0.05,0,"Monocyte","CD83"
"TIMP1",0,2.28418143490612,0.931,0.189,0,"Monocyte","TIMP1"
"GLRX",0,2.2190940043604,0.962,0.261,0,"Monocyte","GLRX"
"CCDC88A",0,2.18679824835339,0.924,0.126,0,"Monocyte","CCDC88A"
"KCTD12",0,2.06623221468341,0.957,0.319,0,"Monocyte","KCTD12"
"SLAMF9",0,2.06530123899694,0.901,0.024,0,"Monocyte","SLAMF9"
"MITF",0,2.05303446241495,0.827,0.021,0,"Monocyte","MITF"
"RETN",0,2.04602996305093,0.844,0.017,0,"Monocyte","RETN"
"CYBB",0,2.00833509434146,0.936,0.109,0,"Monocyte","CYBB"
"NFKBIA",0,2.00828116155685,0.691,0.144,0,"Monocyte","NFKBIA"
