"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ADAM22",1.38324471771624e-12,0.366764182112603,0.276,0.158,2.2798639437399e-08,"5","ADAM22"
"MLLT10",1.46333615019277e-12,0.306522790645336,0.821,0.686,2.41187064274772e-08,"5","MLLT10"
"PIBF1",1.52065661589866e-12,0.33472924528577,0.387,0.257,2.50634623432417e-08,"5","PIBF1"
"USP6NL",1.54077820869364e-12,0.265580197048642,0.516,0.355,2.53951064356886e-08,"5","USP6NL"
"SCFD2",1.69878604311447e-12,0.350204654638218,0.54,0.401,2.79993915626127e-08,"5","SCFD2"
"RCC1L",1.871448607165e-12,0.310268003843241,0.509,0.359,3.08452159432936e-08,"5","RCC1L"
"ABI1",1.95521424340527e-12,0.336680543948821,0.68,0.552,3.22258411598057e-08,"5","ABI1"
"HDAC1",2.08687173439009e-12,0.323383213242078,0.416,0.278,3.43958199262175e-08,"5","HDAC1"
"ANGPTL1",2.13343976897923e-12,0.28648681954663,0.445,0.291,3.51633542723157e-08,"5","ANGPTL1"
"PBRM1",2.98223816324429e-12,0.296750275883608,0.565,0.417,4.91532494065923e-08,"5","PBRM1"
"RASSF21",3.58219043951197e-12,0.2604272903597,0.541,0.378,5.90416628240362e-08,"5","RASSF2"
"HECTD4",3.61695361281424e-12,0.269559164010596,0.487,0.342,5.96146294464043e-08,"5","HECTD4"
"SCMH1",4.00624493008683e-12,0.27587526584942,0.365,0.233,6.60309289376911e-08,"5","SCMH1"
"UBN1",4.06680969175525e-12,0.288226719022385,0.562,0.411,6.702915733951e-08,"5","UBN1"
"TSPO1",4.49114930908642e-12,0.277330773615195,0.387,0.252,7.40231229123623e-08,"5","TSPO"
"SETD2",5.22711443131815e-12,0.291522238853105,0.66,0.517,8.61533000569858e-08,"5","SETD2"
"ATF7IP1",5.51917044960844e-12,0.281009205163375,0.883,0.785,9.09669673504463e-08,"5","ATF7IP"
"SMURF1",5.93777456907934e-12,0.285239665428625,0.327,0.202,9.78664004475657e-08,"5","SMURF1"
"AGK",6.92955394714881e-12,0.279983378815936,0.413,0.275,1.14212908156907e-07,"5","AGK"
"ACTN4",7.48489178616363e-12,0.263831093984344,0.569,0.409,1.23365986419549e-07,"5","ACTN4"
"DENND6A",7.54953662680975e-12,0.260578172738215,0.335,0.21,1.24431462683078e-07,"5","DENND6A"
"SNX6",7.60644893412442e-12,0.293692310298117,0.543,0.389,1.25369491332239e-07,"5","SNX6"
"MRPL28",7.76251772773404e-12,0.302150961311189,0.643,0.486,1.27941817188512e-07,"5","MRPL28"
"NIPSNAP3A",7.98030201566672e-12,0.272803943861038,0.423,0.281,1.31531337822219e-07,"5","NIPSNAP3A"
"CNP",8.19248765191941e-12,0.291524201618538,0.342,0.219,1.35028581478936e-07,"5","CNP"
"UBA2",8.78961721526459e-12,0.272280557333906,0.552,0.395,1.44870470941991e-07,"5","UBA2"
"AGPAT4",9.25818201318814e-12,0.265084201489828,0.376,0.24,1.52593355941367e-07,"5","AGPAT4"
"NAXE",1.01393308092532e-11,0.287980894679802,0.376,0.246,1.67116450398111e-07,"5","NAXE"
"SLC38A9",1.16121594882693e-11,0.329538630523952,0.32,0.202,1.91391612685655e-07,"5","SLC38A9"
"GPATCH2",1.22979677191527e-11,0.333604646026173,0.628,0.488,2.02695103947074e-07,"5","GPATCH2"
"ANP32A",1.31794178920016e-11,0.303531431842889,0.675,0.526,2.1722316569597e-07,"5","ANP32A"
"RUBCNL",1.50626221645756e-11,0.274557794010452,0.447,0.298,2.48262138516534e-07,"5","RUBCNL"
"VCL",1.9939460269736e-11,0.297671725027393,0.259,0.154,3.28642184165788e-07,"5","VCL"
"MIEN1",2.12277654391041e-11,0.278838224689556,0.494,0.345,3.49876029967313e-07,"5","MIEN1"
"SSH21",2.3497692336162e-11,0.257179227333025,0.897,0.834,3.87288965084623e-07,"5","SSH2"
"FNIP1",2.36224044217086e-11,0.330579705899205,0.635,0.507,3.89344469678602e-07,"5","FNIP1"
"QKI",2.63429243845212e-11,0.250097156434453,0.511,0.358,4.34184079705679e-07,"5","QKI"
"NKTR",2.80784326376959e-11,0.274849562741881,0.645,0.509,4.62788726734503e-07,"5","NKTR"
"PIK3AP11",2.81187588016456e-11,0.288950992579744,0.795,0.665,4.63453382568722e-07,"5","PIK3AP1"
"ARFIP1",2.82890197618981e-11,0.270589105812784,0.797,0.684,4.66259623715604e-07,"5","ARFIP1"
"ADAM17",3.05516446941767e-11,0.296043019467539,0.359,0.233,5.03552207849421e-07,"5","ADAM17"
"TBC1D91",3.21715859889005e-11,0.272731380549257,0.723,0.544,5.30252080269058e-07,"5","TBC1D9"
"CIB1",3.71767213046337e-11,0.274733780422505,0.492,0.355,6.12746720542972e-07,"5","CIB1"
"DDX21",3.74965359530954e-11,0.322033902736613,0.426,0.298,6.18017905578918e-07,"5","DDX21"
"SYNE1",3.8019911487818e-11,0.250813720213795,0.611,0.465,6.26644181142216e-07,"5","SYNE1"
"BZW1",3.81246221242658e-11,0.282359226194544,0.738,0.606,6.28370021852149e-07,"5","BZW1"
"MAP4K1",4.22622534512233e-11,0.274719983573657,0.271,0.168,6.96566461383062e-07,"5","MAP4K1"
"ATXN10",4.25911906143109e-11,0.254471420107392,0.406,0.278,7.01988003705072e-07,"5","ATXN10"
"RERE1",4.90107086459974e-11,0.250726851692064,0.783,0.637,8.07794499903329e-07,"5","RERE"
"MARK2",6.20106013131313e-11,0.26483596367948,0.443,0.309,1.02205873084303e-06,"5","MARK2"
"PPIP5K2",7.15277752330121e-11,0.266133348805411,0.289,0.183,1.17892079139051e-06,"5","PPIP5K2"
"STT3B1",9.35527229718185e-11,0.286545961253998,0.362,0.245,1.54193598002151e-06,"5","STT3B"
"MPP71",1.0076261220332e-10,0.263724259103562,0.501,0.347,1.66076937433512e-06,"5","MPP7"
"PNN",1.14470728843308e-10,0.262673850404908,0.692,0.549,1.88670655279541e-06,"5","PNN"
